Using TensorFlow backend.
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0248 - acc: 0.6833 - val_loss: 0.0181 - val_acc: 0.4812
Epoch 42/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0248 - acc: 0.6796 - val_loss: 0.0174 - val_acc: 0.4875
Epoch 43/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0248 - acc: 0.6810 - val_loss: 0.0173 - val_acc: 0.5125
Epoch 44/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0248 - acc: 0.6804 - val_loss: 0.0173 - val_acc: 0.5250
Epoch 45/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0248 - acc: 0.6827 - val_loss: 0.0173 - val_acc: 0.4938
Epoch 46/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0248 - acc: 0.6808 - val_loss: 0.0174 - val_acc: 0.4938
Epoch 47/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0247 - acc: 0.6896 - val_loss: 0.0172 - val_acc: 0.5188
Epoch 48/300
5200/5200 [==============================] - 95s 18ms/sample - loss: 0.0247 - acc: 0.6796 - val_loss: 0.0173 - val_acc: 0.5250
Epoch 49/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0247 - acc: 0.6854 - val_loss: 0.0174 - val_acc: 0.5000
Epoch 50/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0247 - acc: 0.6888 - val_loss: 0.0174 - val_acc: 0.4875
Epoch 51/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0247 - acc: 0.6902 - val_loss: 0.0175 - val_acc: 0.5000
Epoch 52/300
5200/5200 [==============================] - 80s 15ms/sample - loss: 0.0247 - acc: 0.6821 - val_loss: 0.0172 - val_acc: 0.5250
Epoch 53/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0246 - acc: 0.6869 - val_loss: 0.0173 - val_acc: 0.5188
Epoch 54/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0247 - acc: 0.6881 - val_loss: 0.0172 - val_acc: 0.4938
Epoch 55/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0246 - acc: 0.6860 - val_loss: 0.0174 - val_acc: 0.5063
Epoch 56/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0246 - acc: 0.6840 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 57/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0246 - acc: 0.6858 - val_loss: 0.0176 - val_acc: 0.5188
Epoch 58/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0246 - acc: 0.6892 - val_loss: 0.0173 - val_acc: 0.5250
Epoch 59/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0246 - acc: 0.6898 - val_loss: 0.0174 - val_acc: 0.5250
Epoch 60/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0246 - acc: 0.6858 - val_loss: 0.0172 - val_acc: 0.5188
Epoch 61/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0246 - acc: 0.6887 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 62/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0246 - acc: 0.6852 - val_loss: 0.0173 - val_acc: 0.5188
Epoch 63/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0246 - acc: 0.6937 - val_loss: 0.0172 - val_acc: 0.5063
Epoch 64/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0245 - acc: 0.6898 - val_loss: 0.0172 - val_acc: 0.5125
Epoch 65/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0245 - acc: 0.6904 - val_loss: 0.0172 - val_acc: 0.5125
Epoch 66/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0245 - acc: 0.6915 - val_loss: 0.0173 - val_acc: 0.5125
Epoch 67/300
5200/5200 [==============================] - 109s 21ms/sample - loss: 0.0245 - acc: 0.6923 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 68/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0245 - acc: 0.6917 - val_loss: 0.0172 - val_acc: 0.5063
Epoch 69/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0245 - acc: 0.6929 - val_loss: 0.0174 - val_acc: 0.4938
Epoch 70/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0245 - acc: 0.6908 - val_loss: 0.0174 - val_acc: 0.5188
Epoch 71/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0245 - acc: 0.6912 - val_loss: 0.0175 - val_acc: 0.4875
Epoch 72/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0245 - acc: 0.6877 - val_loss: 0.0175 - val_acc: 0.4875
Epoch 73/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0244 - acc: 0.6894 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 74/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0245 - acc: 0.6865 - val_loss: 0.0173 - val_acc: 0.5000
Epoch 75/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0244 - acc: 0.6912 - val_loss: 0.0174 - val_acc: 0.5000
Epoch 76/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0244 - acc: 0.6917 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 77/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0244 - acc: 0.6948 - val_loss: 0.0173 - val_acc: 0.5250
Epoch 78/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0244 - acc: 0.6906 - val_loss: 0.0174 - val_acc: 0.5063
Epoch 79/300
5200/5200 [==============================] - 97s 19ms/sample - loss: 0.0244 - acc: 0.6885 - val_loss: 0.0175 - val_acc: 0.4938
Epoch 80/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0245 - acc: 0.6921 - val_loss: 0.0174 - val_acc: 0.4812
Epoch 81/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0244 - acc: 0.6963 - val_loss: 0.0174 - val_acc: 0.4938
Epoch 82/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0244 - acc: 0.6915 - val_loss: 0.0174 - val_acc: 0.5125
Epoch 83/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0244 - acc: 0.6933 - val_loss: 0.0174 - val_acc: 0.5063
Epoch 84/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0244 - acc: 0.6898 - val_loss: 0.0172 - val_acc: 0.5063
Epoch 85/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0243 - acc: 0.6942 - val_loss: 0.0173 - val_acc: 0.4938
Epoch 86/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0243 - acc: 0.6967 - val_loss: 0.0175 - val_acc: 0.4875
Epoch 87/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0243 - acc: 0.6919 - val_loss: 0.0174 - val_acc: 0.4938
Epoch 88/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0244 - acc: 0.6948 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 89/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0243 - acc: 0.6902 - val_loss: 0.0175 - val_acc: 0.4938
Epoch 90/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0243 - acc: 0.6969 - val_loss: 0.0172 - val_acc: 0.5063
Epoch 91/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0243 - acc: 0.6952 - val_loss: 0.0172 - val_acc: 0.5125
Epoch 92/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0243 - acc: 0.6923 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 93/300
5200/5200 [==============================] - 86s 16ms/sample - loss: 0.0243 - acc: 0.6956 - val_loss: 0.0172 - val_acc: 0.5250
Epoch 94/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0243 - acc: 0.6962 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 95/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0243 - acc: 0.6977 - val_loss: 0.0175 - val_acc: 0.4938
Epoch 96/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0242 - acc: 0.6946 - val_loss: 0.0175 - val_acc: 0.4938
Epoch 97/300
5200/5200 [==============================] - 84s 16ms/sample - loss: 0.0242 - acc: 0.7004 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 98/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0242 - acc: 0.6975 - val_loss: 0.0175 - val_acc: 0.4938
Epoch 99/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0242 - acc: 0.6958 - val_loss: 0.0175 - val_acc: 0.5000
Epoch 100/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0242 - acc: 0.7004 - val_loss: 0.0176 - val_acc: 0.5125
Epoch 101/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0242 - acc: 0.6965 - val_loss: 0.0176 - val_acc: 0.5000
Epoch 102/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0242 - acc: 0.7000 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 103/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0241 - acc: 0.6983 - val_loss: 0.0177 - val_acc: 0.4875
Epoch 104/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0242 - acc: 0.6965 - val_loss: 0.0175 - val_acc: 0.5000
Epoch 105/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0243 - acc: 0.6950 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 106/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0242 - acc: 0.6985 - val_loss: 0.0176 - val_acc: 0.5188
Epoch 107/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0242 - acc: 0.7048 - val_loss: 0.0173 - val_acc: 0.5000
Epoch 108/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0242 - acc: 0.6990 - val_loss: 0.0174 - val_acc: 0.5063
Epoch 109/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0241 - acc: 0.6963 - val_loss: 0.0175 - val_acc: 0.5000
Epoch 110/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0241 - acc: 0.6967 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 111/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0242 - acc: 0.7004 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 112/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0241 - acc: 0.6988 - val_loss: 0.0176 - val_acc: 0.5000
Epoch 113/300
5200/5200 [==============================] - 84s 16ms/sample - loss: 0.0241 - acc: 0.7010 - val_loss: 0.0175 - val_acc: 0.5000
Epoch 114/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0241 - acc: 0.7071 - val_loss: 0.0177 - val_acc: 0.5000
Epoch 115/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0241 - acc: 0.7006 - val_loss: 0.0177 - val_acc: 0.5000
Epoch 116/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0241 - acc: 0.6977 - val_loss: 0.0173 - val_acc: 0.5000
Epoch 117/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0241 - acc: 0.7012 - val_loss: 0.0176 - val_acc: 0.5063
Epoch 118/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0240 - acc: 0.7012 - val_loss: 0.0181 - val_acc: 0.4938
Epoch 119/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0241 - acc: 0.7038 - val_loss: 0.0175 - val_acc: 0.4938
Epoch 120/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0240 - acc: 0.6977 - val_loss: 0.0177 - val_acc: 0.5000
Epoch 121/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0240 - acc: 0.7042 - val_loss: 0.0176 - val_acc: 0.5063
Epoch 122/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0240 - acc: 0.7035 - val_loss: 0.0176 - val_acc: 0.5125
Epoch 123/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0240 - acc: 0.7044 - val_loss: 0.0177 - val_acc: 0.5000
Epoch 124/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0240 - acc: 0.7058 - val_loss: 0.0176 - val_acc: 0.5063
Epoch 125/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0240 - acc: 0.7040 - val_loss: 0.0177 - val_acc: 0.5000
Epoch 126/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0240 - acc: 0.7046 - val_loss: 0.0176 - val_acc: 0.5125
Epoch 127/300
5200/5200 [==============================] - 81s 16ms/sample - loss: 0.0240 - acc: 0.7044 - val_loss: 0.0180 - val_acc: 0.5063
Epoch 128/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0240 - acc: 0.7054 - val_loss: 0.0177 - val_acc: 0.5000
Epoch 129/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0240 - acc: 0.7052 - val_loss: 0.0179 - val_acc: 0.5063
Epoch 130/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0240 - acc: 0.7029 - val_loss: 0.0176 - val_acc: 0.5063
Epoch 131/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0240 - acc: 0.7021 - val_loss: 0.0181 - val_acc: 0.5063
Epoch 132/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0239 - acc: 0.7071 - val_loss: 0.0179 - val_acc: 0.4938
Epoch 133/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0239 - acc: 0.7042 - val_loss: 0.0178 - val_acc: 0.4938
Epoch 134/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0240 - acc: 0.7067 - val_loss: 0.0179 - val_acc: 0.5000
Epoch 135/300
5200/5200 [==============================] - 81s 16ms/sample - loss: 0.0239 - acc: 0.7077 - val_loss: 0.0181 - val_acc: 0.5000
Epoch 136/300
5200/5200 [==============================] - 82s 16ms/sample - loss: 0.0239 - acc: 0.7058 - val_loss: 0.0185 - val_acc: 0.5000
Epoch 137/300
5200/5200 [==============================] - 79s 15ms/sample - loss: 0.0239 - acc: 0.7090 - val_loss: 0.0179 - val_acc: 0.5063
Epoch 138/300
5200/5200 [==============================] - 86s 16ms/sample - loss: 0.0239 - acc: 0.7044 - val_loss: 0.0180 - val_acc: 0.5000
Epoch 139/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0240 - acc: 0.7062 - val_loss: 0.0180 - val_acc: 0.5000
Epoch 140/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0238 - acc: 0.7104 - val_loss: 0.0183 - val_acc: 0.4938
Epoch 141/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0239 - acc: 0.7015 - val_loss: 0.0181 - val_acc: 0.5000
Epoch 142/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0238 - acc: 0.7106 - val_loss: 0.0182 - val_acc: 0.5000
Epoch 143/300
